name,address,img,website,phone_number,reviews_count,reviews_average,latitude,longitude
TEN ATL ,"495 Flat Shoals Ave SE, Atlanta, GA 30316, United States",,linktr.ee,+1 404-940-4777,,4.5,33.75422,-84.5206711
529 Bar ,"529 Flat Shoals Ave SE, Atlanta, GA 30316, United States",,529atlanta.com,+1 404-228-6769,,4.6,33.75422,-84.5206711
Misfits ,"34 Irby Ave NW Suite A, Atlanta, GA 30305, United States",,misfitsbar.com,,,4.4,33.75422,-84.5206711
Boggs Social & Supply ,"1310 White St SW, Atlanta, GA 30310, United States",,boggssocial.com,+1 404-600-2963,,4.6,33.75422,-84.5206711
Buckhead Saloon ,"34 Irby Ave NW, Atlanta, GA 30305, United States",,buckheadsaloon.com,+1 404-550-3915,,4.0,33.75422,-84.5206711
Blue Martini Atlanta ,"3402 Piedmont Rd NE, Atlanta, GA 30305, United States",,bluemartiniatl.com,+1 678-732-0166,,4.3,33.8475491,-84.5179914
Dixie Tavern ,"2349 Windy Hill Rd SE Unit 130, Marietta, GA 30067, United States",,dixietavern.com,+1 770-690-0090,,4.5,33.904332,-84.6303176
Red Phone Booth - Downtown Atlanta ,"17 Andrew Young International Blvd NE, Atlanta, GA 30303, United States",,redphonebooth.com,+1 404-254-3139,,4.5,33.904332,-84.6303176
The Inner Space ,"50 Upper Alabama St, Atlanta, GA 30303, United States",,,,,4.9,33.7595884,-84.5311103
Believe Music Hall ,"181 Ralph David Abernathy Blvd, Atlanta, GA 30312, United States",,believeatl.com,+1 404-600-4498,,4.4,33.7595884,-84.5311103
SkyLounge ,"The Glenn, 110 Marietta St NW, Atlanta, GA 30303, United States",,glennsskylounge.com,+1 404-521-2250,,4.3,33.7595884,-84.5311103
Park Tavern ,"500 10th St NE, Atlanta, GA 30309, United States",,parktavern.com,+1 404-249-0001,,4.0,33.7595884,-84.5311103
Establishment ,"1197 Peachtree St NE Suite 517, Atlanta, GA 30305, United States",,establishmentatlanta.com,+1 404-347-5291,,4.2,33.7595884,-84.5311103
Whisky Mistress ,"3161 Maple Dr NE, Atlanta, GA 30305, United States",,whiskymistress.com,+1 404-884-3684,,4.2,33.7595884,-84.5311103
St. Regis Bar ,"88 W Paces Ferry Rd NW, Atlanta, GA 30305, United States",,marriott.com,+1 404-563-7900,,4.4,33.7595884,-84.5311103
Limerick Junction Pub ,"822 North Highland Avenue Northeast, Atlanta, GA 30306, United States",,limerickjunction.com,+1 404-874-7147,,4.6,33.7595884,-84.5311103
Johnny's Hideaway ,"3771 Roswell Rd NE, Atlanta, GA 30342, United States",,johnnyshideaway.com,+1 404-233-8026,,4.2,33.8577533,-84.5250741
Lost Dog Tavern ,"3182 Roswell Rd NW, Atlanta, GA 30305, United States",,lostdogtavern.com,+1 404-254-3341,,4.1,33.8577533,-84.5250741
High Note Rooftop Bar ,"53 14th St NE, Atlanta, GA 30309, United States",,highnoteatl.com,+1 470-225-8300,,3.8,33.8577533,-84.5250741
The Velvet Note ,"4075 Old Milton Pkwy, Alpharetta, GA 30005, United States",,thevelvetnote.com,+1 855-583-5838,,4.6,34.059977,-84.3864566
Virtue Rooftop ,"1197 Peachtree St NE, Atlanta, GA 30361, United States",,virtuerooftop.com,+1 404-400-3669,,4.3,33.7872526,-84.5271296
Euclid Avenue Yacht Club ,"1136 Euclid Ave NE, Atlanta, GA 30307, United States",,yachtclubatlanta.com,+1 678-973-0427,,4.6,33.7872526,-84.5271296
Lumen Lounge - Lobby Bar ,"181 Peachtree St NE, Atlanta, GA 30303, United States",,ritzcarlton.com,,,4.2,33.7872526,-84.5271296
Live! at the Battery Atlanta ,"825 Battery Ave SE #600, Atlanta, GA 30339, United States",,liveatthebatteryatlanta.com,+1 404-965-2511,,4.1,33.7872526,-84.5271296
Red Door Tavern ,"3180 Roswell Rd, Atlanta, GA 30305, United States",,reddooratl.com,+1 404-846-6525,,4.3,33.889719,-84.6137716
Havana Club ATL ,"3112 Piedmont Rd NE, Atlanta, GA 30305, United States",,havanaclubatl.com,+1 404-941-4847,,3.5,33.841933,-84.5233661
The BQE Restaurant & Lounge ,"262 Edgewood Ave NE, Atlanta, GA 30303, United States",,bqelounge.com,+1 404-996-6159,,4.0,33.841933,-84.5233661
Sweet Georgia's Juke Joint ,"200 Peachtree St L05, Atlanta, GA 30303, United States",,sweetgeorgiasjukejoint.com,+1 470-419-5853,,4.1,33.841933,-84.5233661
Buckhead Theatre ,"3110 Roswell Rd NE, Atlanta, GA 30305, United States",,thebuckheadtheatre.com,+1 404-843-2825,,4.5,33.841933,-84.5233661
Publik Draft House ,"654 Peachtree St NE, Atlanta, GA 30308, United States",,publikatl.com,+1 404-885-7505,,4.3,33.841933,-84.5233661
Industry Tavern ,"3280 Peachtree St NE #187, Atlanta, GA 30305, United States",,industrytavern.com,+1 404-254-4468,,4.4,33.841933,-84.5233661
The Local ,"758 Ponce De Leon Ave NE, Atlanta, GA 30306, United States",,thelocalkaraoke.com,+1 404-873-5002,,4.5,33.841933,-84.5233661
Pal's Lounge ,"254 Auburn Ave NE, Atlanta, GA 30303, United States",,palsloungeatlanta.com,+1 404-383-8893,,4.3,33.841933,-84.5233661
Hard Rock Cafe ,"215 Peachtree St NE, Atlanta, GA 30303, United States",,cafe.hardrock.com,+1 404-688-7625,,4.1,33.841933,-84.5233661
"Crazy ATLanta Restaurant, BAR & Event Venue ","182 Courtland St NE, Atlanta, GA 30303, United States",,crazyatlanta.com,+1 877-300-2121,,3.9,33.841933,-84.5233661
The James Room ,"661 Auburn Ave NE STE 280, Atlanta, GA 30312, United States",,thejamesroom.com,+1 678-705-8381,,4.0,33.841933,-84.5233661
Coca-Cola Roxy ,"800 Battery Ave SE #500, Atlanta, GA 30339, United States",,cocacolaroxy.com,+1 470-351-3866,,4.4,33.8902516,-84.6139216
Suite Food Lounge ,"375 Luckie St NW, Atlanta, GA 30313, United States",,suiteatl.com,+1 404-577-2500,,4.1,33.7648889,-84.5400717
RT60 Rooftop Bar ,"348 Mitchell St SW, Atlanta, GA 30313, United States",,reverb.hardrock.com,,,4.2,33.7648889,-84.5400717
Rowdy Tiger Whiskey Bar & Kitchen ,"866 W Peachtree St NW, Atlanta, GA 30308, United States",,rowdytigeratlanta.com,+1 678-412-2402,,3.9,33.7648889,-84.5400717
Buteco ,"1039 Grant St SE Suite C-10, Atlanta, GA 30315, United States",,butecoatlanta.com,+1 404-963-2929,,4.5,33.7648889,-84.5400717
Club 291 ,"3011 Campbellton Rd SW, Atlanta, GA 30311, United States",,,+1 404-349-1964,,4.2,33.7648889,-84.5400717
Fadó Irish Pub ,"273 Buckhead Ave NE, Atlanta, GA 30305, United States",,fadoirishpub.com,+1 404-841-0066,,4.4,33.8379478,-84.522717
Fellaship.ATL ,"110 Centennial Olympic Park Dr suite 102-104, Atlanta, GA 30313, United States",,fellashipatl.com,+1 404-254-4970,,4.5,33.8379478,-84.522717
Cafe Circa Restaurant & Lounge ,"464 Edgewood Ave SE, Atlanta, GA 30312, United States",,,+1 404-477-0008,,3.9,33.8379478,-84.522717
The Garden Club at Wild Heaven West End ,"1010 White St SW, Atlanta, GA 30310, United States",,thegardenclubatlanta.com,,,4.8,33.8379478,-84.522717
Lyfe ATL ,"201 Courtland St NE, Atlanta, GA 30303, United States",,saturdaylyfe.eventbrite.com,+1 404-386-1888,,3.8,33.7301789,-84.5634022
Ladybird Grove & Mess Hall ,"684 John Wesley Dobbs Ave NE Unit J, Atlanta, GA 30312, United States",,ladybirdatl.com,+1 404-458-6838,,4.4,33.7301789,-84.5634022
Josephine Lounge ,"3277 Buford Hwy NE, Atlanta, GA 30329, United States",,josephineatl.com,+1 678-973-4441,,3.8,33.8412946,-84.4721897
Kenny's Alley ,"50 Upper Alabama St, Atlanta, GA 30303, United States",,,+1 678-904-2514,,4.4,33.8412946,-84.4721897
Laseter's Tavern ,"4355 Cobb Pkwy SE, Atlanta, GA 30339, United States",,laseterstavern.com,+1 770-850-8570,,4.5,33.8412946,-84.4721897
Cigar City Club ,"4355 Cobb Pkwy SE, Atlanta, GA 30339, United States",,laseterstavern.com,+1 770-850-8570,,4.5,33.8724047,-84.599769
MidCity ,"850 W Peachtree St NW, Atlanta, GA 30308, United States",,facebook.com,,,4.7,33.8914274,-84.5259525
Center Stage Theater ,"1374 W Peachtree St NW, Atlanta, GA 30309, United States",,centerstage-atlanta.com,+1 404-885-1365,,4.5,33.7779264,-84.531684
The Garden Room ,"88 W Paces Ferry Rd NW, Atlanta, GA 30305, United States",,thegardenroomatlanta.com,+1 404-600-6471,,3.7,33.7779264,-84.531684
Westside Motor Lounge ,"725 Echo St NW, Atlanta, GA 30318, United States",,westsidemotorlounge.com,+1 678-388-9536,,4.3,33.7779264,-84.531684
PBR Atlanta: A Coors Banquet Bar ,"825 Battery Ave SE #600, Atlanta, GA 30339, United States",,liveatthebatteryatlanta.com,+1 404-965-2511,,4.1,33.8897143,-84.6137659
Supply & Demand ,"3223 Cains Hill Pl NW, Atlanta, GA 30305, United States",,supplydemandatl.com,+1 678-334-9755,,4.1,33.8426306,-84.5244262
Sidebar ,"79 Poplar St NW, Atlanta, GA 30303, United States",,sidebaratl.com,+1 404-228-5442,,4.2,33.8426306,-84.5244262
The Basement ,"1245 Glenwood Ave SE, Atlanta, GA 30316, United States",,basementatl.com,+1 404-622-8686,,4.4,33.7399021,-84.4909558
Sanctuary Nightclub ,"3209 Paces Ferry Pl NW, Atlanta, GA 30305, United States",,sanctuarynightclub.com,+1 404-262-1377,,4.1,33.8427379,-84.5258518
UNITYJAZZ ,"970 Piedmont Ave NE, Atlanta, GA 30309, United States",,unityjazz.org,+1 770-899-1991,,,33.8427379,-84.5258518
